bucket,fills,notional,cash,fees,payout,prefee_pnl,net_pnl,prefee_pct,net_pct,taker_share_notional,avg_price,taker_fee_pct
<= -2bp,1387,11242.01,11242.01,0.0,10684.96,-557.05,-557.05,-4.955,-4.955,0.0,0.4318,
-2..-0.5,3085,28690.43,28690.43,0.0,28961.88,271.45,271.45,0.946,0.946,0.0,0.4803,
flat,14530,169951.62,169951.62,0.0,172989.62,3038.0,3038.0,1.788,1.788,0.0,0.495,
+0.5..+2,2521,24075.78,24075.78,0.0,26219.25,2143.46,2143.46,8.903,8.903,0.0,0.4611,
>= +2bp,1202,10714.23,10714.23,0.0,11412.89,698.66,698.66,6.521,6.521,0.0,0.4824,
